USB_V,USB_A,USB_W,Int_Accel,Ext_Accel,Net_Traffic,RF_Density,Sys_Temp,Label
4.855,2.814,13.654,2.9188,4.52,113.963,-19.6,91.6,Yes
4.914,2.168,10.727,2.9153,2.4687,105.94,-17.1,76.4,Yes
5.052,0.043,0.197,0.1081,0.0112,0.739,-86.8,31.4,No
5.052,0.176,0.881,0.0682,0.0224,3.148,-83.4,37.0,No
4.911,2.485,12.255,3.1263,3.3915,109.387,-11.5,83.5,Yes
4.902,2.152,10.583,3.4,3.5983,82.296,-17.9,94.8,Yes
5.027,0.114,0.573,0.076,0.0256,3.202,-91.9,36.2,No
4.884,2.364,11.49,3.1553,4.5095,114.382,-20.3,76.7,Yes
5.035,0.529,2.629,0.2443,0.2512,5.805,-70.5,48.5,No
5.04,1.022,5.155,0.4345,0.728,27.912,-34.8,52.0,No
5.045,0.091,0.465,0.0,0.063,0.906,-72.8,41.7,No
4.99,1.113,5.666,0.6969,0.7535,22.942,-51.7,63.4,No
5.08,0.183,0.935,0.2511,0.1195,1.564,-64.3,39.7,No
4.965,1.741,8.749,2.0288,2.1413,131.503,-24.3,76.6,Yes
5.031,0.344,1.691,0.2669,0.0679,7.01,-52.7,40.3,No
5.049,0.166,0.859,0.1906,0.1943,5.625,-75.0,43.2,No
5.073,0.111,0.572,0.0435,0.0,2.319,-79.7,36.7,No
4.951,1.687,8.357,1.2981,1.8494,77.107,-51.3,66.1,Yes
4.884,2.418,11.858,3.0553,3.3668,132.85,-12.2,80.6,Yes
5.032,0.434,2.16,0.1997,0.13,5.423,-65.9,39.7,No
5.07,0.017,0.075,0.0674,0.031,1.074,-92.4,36.3,No
5.009,0.432,2.174,0.2729,0.2495,6.502,-59.6,49.3,No
4.924,1.561,7.691,3.2981,3.516,142.993,-19.6,83.4,Yes
4.874,1.961,9.543,3.1712,4.2988,103.507,-14.8,92.0,Yes
5.017,0.456,2.312,0.2124,0.2035,7.199,-55.5,52.5,No
4.994,0.679,3.385,0.8706,0.3017,18.168,-51.3,62.0,No
4.908,1.823,8.954,3.0408,2.5938,101.538,-21.6,75.1,Yes
4.994,0.719,3.608,0.4262,0.8426,18.206,-54.5,57.7,No
5.046,0.091,0.461,0.0485,0.0509,2.941,-97.4,41.6,No
5.048,0.184,0.917,0.091,0.0346,0.937,-95.4,41.8,No
5.03,0.269,1.346,0.1492,0.0362,3.508,-85.7,39.4,No
5.0,0.809,4.011,0.5274,0.7016,32.88,-31.2,60.0,Yes
5.053,0.414,2.076,0.1015,0.2039,6.791,-64.9,46.1,No
5.007,0.812,4.136,0.353,0.4154,14.391,-56.5,61.9,Yes
5.032,0.902,4.598,0.7637,0.5083,34.252,-45.8,61.8,No
4.973,1.942,9.598,1.3304,1.4463,78.261,-23.9,67.3,Yes
4.989,1.937,9.578,1.4842,1.6087,91.91,-28.5,70.7,Yes
5.04,1.027,5.072,0.8708,0.3816,28.823,-49.4,60.6,No
5.047,0.148,0.739,0.0641,0.0189,1.136,-105.8,39.6,No
5.01,1.919,9.655,2.2044,1.3429,94.334,-37.8,67.2,Yes
5.028,0.201,1.023,0.2437,0.0797,7.742,-82.1,37.7,No
4.933,2.059,10.245,2.0993,3.4324,137.226,-14.0,84.3,Yes
4.994,1.104,5.582,0.691,0.4198,41.067,-53.0,67.8,No
5.058,0.108,0.54,0.0559,0.034,1.294,-77.6,36.4,No
5.018,0.606,3.096,0.7441,0.8387,32.08,-43.4,62.8,No
5.06,0.074,0.354,0.0924,0.0377,1.72,-81.7,38.4,No
5.039,0.086,0.45,0.0089,0.0172,1.133,-79.3,30.8,No
5.01,0.416,2.08,0.2098,0.1611,6.732,-51.0,54.7,No
5.006,0.534,2.738,0.2595,0.2692,5.423,-57.7,50.3,No
5.067,0.181,0.937,0.0627,0.0179,1.862,-90.3,37.7,No
5.022,0.66,3.304,0.7508,0.761,12.778,-44.8,66.3,No
5.025,0.135,0.674,0.026,0.0471,0.824,-90.3,34.0,No
5.048,0.071,0.356,0.0971,0.0364,1.877,-100.1,39.1,No
4.899,1.599,7.874,2.2824,2.7958,104.67,-31.2,89.0,Yes
5.015,0.451,2.198,0.2366,0.1638,6.568,-69.9,47.9,No
5.051,0.326,1.647,0.2247,0.1775,6.786,-57.8,41.6,No
5.048,0.435,2.184,0.2379,0.1305,4.48,-65.4,41.0,No
5.029,0.096,0.483,0.2004,0.0755,4.318,-79.4,46.4,No
5.04,0.342,1.761,0.2089,0.0387,7.529,-71.6,40.4,No
5.048,0.109,0.548,0.0477,0.0281,1.826,-89.2,41.4,No
5.05,0.085,0.41,0.0205,0.0369,3.076,-91.4,39.1,No
5.052,0.122,0.621,0.0871,0.0599,1.257,-91.9,34.4,No
4.921,1.938,9.419,2.3063,1.2432,79.028,-51.4,72.8,Yes
5.06,0.103,0.51,0.0148,0.0692,2.165,-90.4,42.3,No
5.038,1.213,6.078,0.7916,0.7372,26.112,-57.2,55.1,Yes
5.005,0.449,2.256,0.2158,0.1563,6.604,-66.3,51.5,No
5.025,0.44,2.156,0.3085,0.2653,7.324,-58.0,50.3,No
5.0,0.445,2.195,0.2043,0.2091,5.685,-58.0,52.0,No
5.006,0.47,2.395,0.3347,0.1543,7.222,-43.3,48.4,No
4.916,2.907,14.282,2.8044,3.2771,135.209,-28.6,84.6,Yes
4.892,1.533,7.434,3.2668,3.1486,141.428,-26.4,79.7,Yes
5.052,0.369,1.859,0.222,0.0904,6.109,-56.7,45.8,No
5.052,0.017,0.085,0.0547,0.0151,1.094,-93.7,36.9,No
4.904,2.246,11.087,2.9745,4.1809,100.863,-21.4,84.9,Yes
4.908,2.062,9.985,3.1286,2.6776,143.832,-17.5,79.3,Yes
4.981,1.119,5.636,0.8151,0.7896,27.714,-45.1,54.9,No
4.929,2.304,11.292,2.1263,3.8547,99.347,-14.2,76.5,Yes
5.035,0.148,0.752,0.0243,0.0555,1.499,-94.5,35.5,No
4.856,2.264,10.896,2.406,2.7185,78.2,-31.0,88.3,Yes
5.025,1.071,5.34,0.4502,0.6824,35.861,-60.0,61.3,Yes
5.055,0.101,0.526,0.0848,0.056,1.222,-72.5,33.2,No
4.958,1.934,9.595,1.6145,2.1038,53.314,-35.2,62.6,Yes
4.98,1.085,5.451,0.3705,0.6754,30.642,-47.4,61.8,Yes
5.048,0.179,0.915,0.2463,0.1703,3.104,-73.9,40.7,No
4.999,0.927,4.573,0.7383,0.4524,27.793,-51.4,63.7,Yes
4.991,0.451,2.251,0.317,0.161,7.106,-59.7,53.0,No
4.986,1.08,5.35,0.553,0.7827,17.363,-40.2,64.8,No
5.065,0.154,0.78,0.0115,0.0237,2.175,-89.7,40.1,No
5.028,0.279,1.377,0.0744,0.1633,3.983,-84.8,40.9,No
5.017,0.155,0.791,0.0656,0.0263,0.69,-96.1,30.0,No
5.063,0.038,0.16,0.0798,0.0518,1.058,-90.2,33.9,No
5.051,0.098,0.509,0.0024,0.045,1.448,-79.9,39.0,No
5.006,0.471,2.364,0.202,0.1838,6.735,-48.0,52.5,No
5.064,0.045,0.255,0.0894,0.0647,0.669,-86.2,35.8,No
5.056,0.153,0.766,0.0745,0.0729,2.286,-85.3,35.2,No
5.032,0.034,0.161,0.1077,0.024,2.651,-88.9,37.9,No
5.03,0.522,2.651,0.2068,0.178,5.804,-62.9,49.6,No
4.889,2.632,12.792,3.9008,3.651,120.554,-11.8,85.5,Yes
5.004,0.446,2.23,0.2671,0.1157,3.08,-89.3,48.0,No
5.011,0.156,0.779,0.262,0.1195,1.213,-57.6,44.4,No
5.065,0.064,0.32,0.0511,0.038,1.325,-92.4,36.8,No
4.981,2.038,10.199,2.2109,1.3726,58.01,-31.2,69.2,Yes
5.031,0.171,0.841,0.2277,0.0426,4.945,-85.7,52.0,No
4.942,2.057,10.106,2.2393,3.4924,109.661,-29.5,75.3,Yes
4.929,2.008,9.856,2.7388,3.4366,109.285,-23.5,87.4,Yes
5.042,0.094,0.494,0.0489,0.0719,2.915,-88.0,43.9,No
4.978,1.786,8.805,1.2886,1.5867,89.843,-48.2,79.3,Yes
4.971,1.923,9.559,1.6429,1.208,46.652,-31.6,77.1,Yes
4.951,1.93,9.534,1.5134,1.249,58.745,-46.8,72.6,Yes
5.04,0.853,4.246,0.6765,0.6945,29.527,-46.0,60.0,Yes
4.99,0.548,2.718,0.3024,0.2207,7.463,-66.0,44.4,No
5.038,0.427,2.113,0.2534,0.1431,5.211,-85.4,40.3,No
4.99,2.015,10.143,2.2159,2.3157,52.438,-31.7,81.8,Yes
5.052,0.089,0.464,0.1172,0.011,1.979,-78.6,35.9,No
4.894,2.212,10.87,3.6147,3.5943,137.924,-33.3,80.8,Yes
4.888,1.713,8.315,2.2893,3.1668,129.738,-22.4,81.2,Yes
4.964,1.643,8.218,1.6155,1.611,87.291,-16.4,73.6,Yes
4.981,1.943,9.781,1.8044,1.4283,45.541,-31.0,74.4,Yes
4.959,1.661,8.216,2.0208,2.4352,102.821,-26.4,73.9,Yes
4.958,1.874,9.315,1.2375,1.6969,84.464,-43.3,64.2,Yes
5.046,0.043,0.212,0.1132,0.0356,2.398,-67.6,35.2,No
5.017,1.3,6.5,0.4068,0.6146,23.852,-38.1,57.3,Yes
5.028,0.439,2.152,0.0822,0.2157,2.886,-83.1,44.5,No
4.88,1.823,8.957,3.6149,3.1051,104.552,-20.2,75.2,Yes
4.981,0.63,3.254,0.6305,0.5338,40.212,-41.1,56.9,Yes
5.021,1.237,6.126,0.6524,0.353,13.922,-59.0,69.1,Yes
4.859,2.58,12.577,2.2339,2.4986,122.699,-31.7,82.9,Yes
5.034,0.284,1.426,0.2586,0.0198,5.14,-74.3,37.0,No
5.041,0.031,0.159,0.1126,0.0447,2.952,-106.8,30.0,No
4.937,2.034,9.994,2.3548,3.0222,128.056,-22.5,79.4,Yes
5.037,0.102,0.505,0.0396,0.027,2.675,-105.1,35.5,No
5.002,0.602,3.027,0.5338,0.6255,40.425,-40.4,63.7,Yes
4.875,2.2,10.632,3.2969,3.3738,90.479,-15.5,88.5,Yes
5.038,0.121,0.612,0.0406,0.0125,2.433,-101.1,35.1,No
5.009,0.195,1.01,0.0862,0.1192,2.069,-83.3,42.7,No
5.003,1.279,6.407,0.4052,0.3411,15.172,-41.4,58.1,Yes
5.056,0.064,0.338,0.092,0.0109,3.087,-80.8,32.5,No
4.874,2.835,13.827,2.9532,3.0329,138.477,-34.9,84.6,Yes
4.99,1.327,6.617,2.2951,1.4178,50.782,-39.3,72.1,Yes
5.053,0.134,0.694,0.2777,0.109,5.51,-90.9,40.3,No
5.017,1.935,9.789,1.7516,1.9823,89.595,-47.4,78.3,Yes
5.047,0.253,1.306,0.2174,0.125,4.165,-56.1,45.9,No
4.979,1.8,8.963,1.5443,1.9123,62.488,-29.3,71.1,Yes
5.033,0.01,0.055,0.077,0.0377,0.809,-78.4,36.0,No
5.048,0.166,0.86,0.1071,0.0283,1.284,-80.8,40.4,No
4.903,1.843,9.138,2.2963,3.9916,133.752,-25.2,74.1,Yes
5.046,0.427,2.138,0.0808,0.1043,4.824,-78.3,40.5,No
4.968,1.739,8.741,2.3575,1.9058,50.999,-46.5,65.7,Yes
5.039,0.223,1.106,0.2162,0.2106,2.917,-62.9,46.7,No
5.05,0.038,0.204,0.1158,0.0215,2.894,-88.1,35.9,No
4.99,0.417,2.06,0.3303,0.228,7.455,-74.3,54.3,No
4.991,0.837,4.2,0.6272,0.6276,16.357,-47.5,60.6,No
5.039,0.153,0.771,0.096,0.0342,2.636,-94.0,38.8,No
5.049,0.223,1.115,0.1839,0.0526,4.283,-66.9,38.9,No
4.899,2.091,10.207,3.8407,3.6127,92.345,-17.4,81.8,Yes
5.044,0.449,2.284,0.2449,0.0335,6.029,-80.7,45.2,No
5.0,0.248,1.214,0.224,0.029,4.132,-84.5,39.3,No
5.024,0.577,2.898,0.5286,0.7731,19.084,-47.3,58.9,No
5.023,1.242,6.26,0.5722,0.3553,8.122,-42.0,56.6,Yes
4.915,2.104,10.434,1.9097,2.8129,132.698,-20.1,76.8,Yes
4.907,2.485,12.102,2.5643,2.5642,77.594,-22.2,95.0,Yes
5.006,1.613,8.063,1.405,1.7493,60.438,-32.5,75.2,Yes
4.885,2.709,13.278,2.3593,3.3976,94.841,-24.6,92.5,Yes
5.045,0.137,0.683,0.1957,0.0561,2.676,-67.4,40.5,No
5.001,0.425,2.133,0.3071,0.1493,6.957,-58.5,48.9,No
5.004,1.029,5.208,0.6298,0.4624,38.841,-51.1,62.4,Yes
5.051,0.094,0.461,0.021,0.0267,1.856,-94.8,33.0,No
4.938,1.631,7.947,2.1686,2.1055,129.151,-14.6,80.2,Yes
4.982,1.038,5.15,0.5051,0.4743,25.48,-30.0,61.4,No
5.021,0.983,4.999,0.3654,0.473,12.645,-51.2,54.5,Yes
5.026,0.506,2.578,0.306,0.2476,6.625,-65.8,54.3,No
5.009,0.542,2.686,0.3343,0.2381,5.52,-59.9,51.0,No
4.889,2.003,9.804,2.9086,3.1407,110.111,-23.3,79.2,Yes
4.902,1.898,9.516,3.4486,3.024,85.815,-29.6,86.5,Yes
5.037,0.177,0.887,0.0805,0.0341,0.663,-79.9,33.5,No
4.945,2.566,12.771,2.2979,2.9795,137.592,-18.1,81.2,Yes
5.023,0.139,0.681,0.1417,0.1297,7.04,-79.8,45.7,No
5.006,0.404,1.992,0.3224,0.1777,7.083,-65.8,52.6,No
5.049,0.028,0.139,0.0046,0.0226,3.019,-85.4,39.7,No
4.937,1.706,8.442,1.2988,1.325,56.04,-40.0,67.9,Yes
4.927,1.817,8.989,2.1232,1.9315,50.919,-35.3,72.6,Yes
5.034,0.126,0.678,0.0944,0.1736,3.851,-87.3,44.6,No
4.867,2.245,11.022,3.1882,2.8631,76.54,-13.4,87.4,Yes
4.925,2.388,11.71,2.5474,2.1805,104.63,-18.8,79.8,Yes
5.037,0.018,0.098,0.0193,0.0299,2.618,-86.2,32.7,No
5.017,1.077,5.432,0.5695,0.387,10.441,-52.9,58.1,No
5.064,0.028,0.122,0.0,0.0162,3.002,-91.0,34.8,No
4.996,1.731,8.62,1.3348,2.2897,78.643,-45.2,74.7,Yes
5.043,0.174,0.872,0.116,0.0809,1.937,-84.2,37.1,No
5.072,0.094,0.467,0.0602,0.0466,1.435,-85.6,37.8,No
5.067,0.03,0.141,0.0204,0.0152,1.378,-76.5,39.3,No
5.022,0.083,0.421,0.079,0.0696,1.907,-88.0,30.5,No
5.025,0.682,3.442,0.8911,0.4351,27.604,-59.0,72.0,Yes
4.949,2.571,12.643,2.413,3.3967,126.932,-14.5,85.3,Yes
4.896,2.864,14.129,3.2156,4.0563,130.922,-12.7,79.3,Yes
5.033,0.31,1.539,0.1899,0.1581,7.13,-55.8,46.9,No
5.066,0.136,0.709,0.0371,0.0175,1.626,-77.4,35.0,No
4.948,2.639,12.992,3.2089,3.0028,105.453,-9.7,89.4,Yes
4.994,1.286,6.454,0.8585,0.5306,19.873,-55.7,61.0,No
5.041,0.441,2.2,0.2629,0.093,6.781,-73.7,41.5,No
4.99,0.405,2.035,0.2242,0.2662,7.706,-59.1,46.5,No
4.976,1.675,8.387,1.5611,2.0191,62.911,-43.2,70.9,Yes
5.024,0.206,1.049,0.1215,0.0831,6.205,-57.2,41.6,No
5.063,0.114,0.583,0.1083,0.0072,2.207,-86.9,35.9,No
5.008,0.592,2.976,0.3885,0.6995,35.051,-63.4,61.1,Yes
5.014,0.417,2.061,0.2448,0.2778,5.687,-64.7,53.4,No
4.951,1.688,8.28,2.2452,3.148,132.076,-11.4,84.7,Yes
5.042,0.106,0.545,0.1125,0.0713,1.522,-96.5,30.1,No
5.067,0.399,2.013,0.1006,0.1051,5.335,-88.2,34.5,No
5.024,0.161,0.82,0.1964,0.1554,2.097,-83.6,45.3,No
5.0,0.126,0.632,0.2278,0.1352,3.42,-81.0,37.2,No
5.042,0.08,0.425,0.0108,0.0241,0.517,-86.1,33.2,No
5.066,0.022,0.095,0.0122,0.0546,0.57,-94.5,30.0,No
5.032,0.097,0.481,0.0673,0.0721,1.99,-87.3,40.7,No
5.04,0.661,3.328,0.861,0.3454,28.159,-52.8,62.9,Yes
5.0,1.147,5.522,0.4097,0.3179,37.366,-53.3,71.5,Yes
5.035,0.043,0.216,0.0628,0.0106,0.685,-94.5,33.5,No
5.025,1.125,5.667,0.5963,0.3093,41.806,-50.5,60.9,No
4.998,1.691,8.381,2.4865,1.5953,45.692,-36.7,74.3,Yes
5.009,0.925,4.722,0.3505,0.5434,25.397,-43.3,54.3,No
5.055,0.372,1.878,0.0815,0.213,5.467,-70.5,41.0,No
4.871,2.032,10.001,2.3575,3.8344,85.775,-28.0,86.2,Yes
4.995,1.133,5.632,0.5103,0.7721,11.037,-54.1,56.9,Yes
5.04,0.558,2.867,0.5764,0.7754,32.597,-53.4,56.4,Yes
4.936,1.788,8.785,2.1861,1.1093,60.873,-50.7,75.4,Yes
5.006,0.481,2.421,0.3159,0.2857,6.82,-66.0,52.6,No
5.043,0.428,2.108,0.2451,0.2443,6.037,-59.8,50.5,No
5.021,0.158,0.788,0.0655,0.0265,2.388,-76.8,35.3,No
4.891,1.92,9.434,3.125,2.4291,114.964,-15.5,75.1,Yes
5.031,0.01,0.051,0.0702,0.0155,1.653,-85.2,41.9,No
4.896,2.142,10.57,3.4137,3.4611,94.944,-18.4,82.0,Yes
4.995,0.519,2.582,0.2929,0.2243,5.556,-63.0,50.5,No
5.015,0.27,1.356,0.2673,0.0445,2.705,-82.1,45.7,No
5.007,0.128,0.664,0.1782,0.0601,4.97,-66.7,45.0,No
5.069,0.022,0.12,0.1154,0.0659,1.629,-80.5,40.2,No
4.861,2.22,10.853,3.3853,3.1983,121.546,-20.6,95.0,Yes
5.023,0.197,0.985,0.0978,0.1502,6.252,-72.1,39.4,No
5.0,1.233,6.234,0.645,0.3126,34.269,-36.9,60.8,No
5.038,0.176,0.879,0.2037,0.1821,7.306,-83.2,44.2,No
4.903,2.678,13.14,3.868,2.7707,135.089,-23.7,85.2,Yes
4.992,0.96,4.832,0.5864,0.8186,28.478,-50.5,66.7,Yes
4.912,2.309,11.371,2.2112,3.3347,115.437,-28.9,81.3,Yes
5.04,0.569,2.93,0.3748,0.3611,28.305,-41.0,60.8,Yes
5.047,0.114,0.602,0.0712,0.0525,2.251,-83.9,31.5,No
4.977,1.764,8.887,2.3614,1.3367,89.376,-38.9,75.0,Yes
5.065,0.364,1.814,0.1527,0.0588,3.706,-85.6,43.9,No
4.994,0.482,2.406,0.3272,0.1872,6.35,-63.5,48.3,No
5.04,1.088,5.438,0.5364,0.5188,34.999,-55.3,70.9,Yes
5.032,1.098,5.479,0.5926,0.6718,17.534,-42.5,62.5,No
5.025,0.443,2.182,0.2457,0.2126,7.494,-64.6,51.1,No
5.057,0.063,0.335,0.0984,0.0227,3.186,-90.9,36.5,No
5.037,0.087,0.43,0.0927,0.001,0.844,-75.9,41.3,No
5.02,0.583,2.885,0.7274,0.4074,34.152,-44.4,60.8,Yes
5.046,0.175,0.87,0.0519,0.0177,0.928,-83.1,37.4,No
4.926,1.841,9.002,3.0401,4.2125,86.335,-20.5,90.8,Yes
4.881,2.944,14.385,3.6693,4.1685,113.717,-24.9,79.5,Yes
4.963,1.578,7.848,1.327,1.9112,63.973,-35.0,71.1,Yes
4.891,1.645,8.12,1.9733,2.59,126.856,-11.1,73.3,Yes
5.015,0.348,1.734,0.0644,0.1948,1.614,-57.2,43.9,No
4.992,0.5,2.492,0.2788,0.2384,7.293,-44.6,51.2,No
5.01,1.212,6.032,0.431,0.4075,8.346,-59.6,65.4,No
5.056,0.087,0.428,0.0625,0.0181,2.784,-76.8,31.2,No
5.05,0.108,0.552,0.0805,0.0048,0.515,-99.7,34.3,No
4.98,1.305,6.5,1.2762,2.1326,71.045,-13.2,63.8,Yes
4.969,1.671,8.282,2.2138,2.1471,92.014,-38.9,69.5,Yes
4.951,2.109,10.471,2.6141,3.7058,139.912,-10.0,77.6,Yes
4.927,1.474,7.239,1.9328,1.9542,64.459,-26.6,71.9,Yes
5.056,0.09,0.445,0.0497,0.013,3.018,-95.8,30.6,No
4.989,1.164,5.798,0.6981,0.4478,20.432,-38.2,57.9,Yes
5.057,0.114,0.585,0.0495,0.0266,1.243,-76.7,36.8,No
4.946,1.639,8.039,1.5216,1.5402,74.829,-42.4,74.3,Yes
5.038,0.226,1.115,0.2503,0.1142,5.215,-75.3,42.9,No
4.894,2.922,14.46,2.2142,2.5689,77.426,-32.8,88.0,Yes
4.992,1.054,5.317,0.4643,0.4573,36.495,-43.6,57.8,No
5.04,1.152,5.878,0.5576,0.3588,40.8,-57.9,68.8,No
5.037,1.454,7.401,2.1777,1.2223,80.475,-42.4,79.4,Yes
5.037,0.361,1.823,0.2041,0.1448,0.9,-57.5,49.2,No
5.055,0.435,2.154,0.2082,0.1429,2.575,-88.3,45.0,No
5.007,1.238,6.116,0.7359,0.4905,27.788,-30.0,63.1,Yes
5.05,0.158,0.801,0.0256,0.0135,1.65,-96.1,36.6,No
5.031,0.256,1.273,0.156,0.0509,1.085,-74.0,43.2,No
4.873,2.051,10.013,3.1555,4.3449,95.761,-24.9,83.0,Yes
5.04,1.037,5.138,0.5379,0.6532,9.042,-45.2,60.2,No
5.031,0.01,0.05,0.0,0.0569,0.53,-84.6,33.8,No
5.004,0.725,3.637,0.417,0.5259,14.461,-58.1,67.3,Yes
4.938,1.683,8.23,1.9971,2.1958,60.13,-27.6,80.2,Yes
5.004,1.127,5.604,0.3657,0.6247,10.365,-39.6,63.3,Yes
4.911,1.878,9.217,3.1927,2.6238,124.904,-10.4,85.4,Yes
5.006,0.146,0.739,0.1424,0.0143,1.308,-57.7,43.6,No
4.957,1.417,7.186,1.3936,2.2912,63.957,-46.4,75.6,Yes
5.049,0.21,1.08,0.1406,0.1671,1.59,-79.9,38.4,No
5.007,0.844,4.187,0.467,0.7045,40.016,-39.8,60.5,Yes
5.006,0.248,1.244,0.057,0.1583,1.703,-69.2,41.6,No
4.969,1.525,7.621,2.2588,1.9596,89.124,-23.8,69.1,Yes
4.893,1.681,8.331,2.7997,2.5748,102.5,-11.2,83.5,Yes
5.063,0.019,0.111,0.0515,0.0269,0.798,-100.0,33.6,No
5.035,0.124,0.617,0.0162,0.0,2.408,-80.0,31.2,No
4.913,1.752,8.586,2.1236,2.0977,135.733,-28.4,87.6,Yes
4.972,1.716,8.473,2.475,1.9023,74.356,-31.1,71.3,Yes
5.066,0.057,0.295,0.0855,0.0166,0.602,-88.4,31.0,No
4.876,2.525,12.33,3.4482,2.6464,108.288,-22.6,80.6,Yes
4.857,2.796,13.53,3.0034,3.0621,129.251,-19.8,81.3,Yes
4.954,2.467,12.218,3.0341,3.7641,101.246,-18.9,79.3,Yes
4.982,0.72,3.623,0.3722,0.6757,21.474,-58.2,67.2,No
5.039,0.282,1.417,0.1883,0.1626,4.87,-67.2,42.0,No
5.013,2.064,10.376,1.9667,2.0196,73.568,-39.2,81.3,Yes
5.0,0.135,0.647,0.2419,0.099,3.347,-71.6,41.2,No
5.016,1.992,10.068,1.8902,1.1678,43.941,-43.0,76.5,Yes
5.023,0.392,1.933,0.3226,0.2416,7.784,-71.0,45.1,No
5.023,0.346,1.717,0.2753,0.2148,3.467,-79.7,42.1,No
4.92,2.252,10.997,1.8332,3.7166,107.853,-22.2,81.4,Yes
5.007,0.53,2.666,0.2501,0.2417,6.042,-57.3,48.8,No
4.933,1.726,8.534,2.6653,2.0209,104.516,-17.5,78.9,Yes
4.933,1.566,7.687,2.2558,3.3373,113.148,-27.5,83.4,Yes
4.99,0.759,3.748,0.8149,0.5569,16.287,-30.0,55.8,Yes
5.022,0.408,2.024,0.2889,0.1983,7.315,-57.5,49.0,No
5.054,0.05,0.242,0.1054,0.0193,1.643,-85.3,35.4,No
4.946,2.084,10.369,3.2335,2.2244,131.692,-18.8,74.0,Yes
5.016,0.483,2.398,0.3145,0.1938,5.832,-53.0,49.5,No
4.927,2.018,9.861,3.2643,3.9467,129.708,-9.7,87.4,Yes
4.891,2.315,11.447,3.783,2.5376,123.319,-18.9,84.8,Yes
4.996,0.395,1.986,0.2375,0.2033,6.058,-47.6,47.7,No
4.969,2.0,9.981,1.9947,1.4783,78.45,-46.1,76.4,Yes
4.995,1.726,8.697,1.4917,2.2586,91.042,-35.7,74.5,Yes
5.044,0.478,2.354,0.2419,0.2822,5.406,-62.5,49.7,No
4.996,1.06,5.252,0.7476,0.5356,40.926,-45.4,71.4,No
5.016,0.72,3.566,0.459,0.4866,22.94,-43.4,63.8,Yes
4.964,1.487,7.3,2.3545,1.7918,46.352,-30.1,64.7,Yes
4.965,2.4,11.837,2.5074,2.9532,119.018,-19.0,78.4,Yes
4.972,1.92,9.535,1.9933,2.1675,73.864,-38.2,65.6,Yes
4.896,2.412,11.83,2.7596,3.4871,93.882,-21.5,80.9,Yes
5.032,0.465,2.293,0.2473,0.2763,5.491,-57.5,52.4,No
5.041,0.173,0.895,0.0299,0.016,2.076,-88.2,31.7,No
4.897,2.122,10.433,2.2241,3.0318,119.916,-23.1,85.9,Yes
5.054,0.073,0.381,0.0498,0.02,1.697,-96.8,40.6,No
4.892,1.848,8.89,2.7276,3.0512,113.99,-20.6,80.9,Yes
5.03,0.091,0.448,0.0015,0.0617,2.692,-74.7,33.1,No
4.898,2.413,11.824,1.8257,3.3723,108.208,-8.3,82.6,Yes
5.048,0.059,0.305,0.0616,0.013,2.66,-90.0,30.0,No
5.042,0.041,0.212,0.0,0.0211,1.023,-89.4,34.8,No
5.067,0.179,0.909,0.0972,0.0344,2.801,-75.3,38.6,No
5.002,1.607,8.02,1.2896,1.6738,94.624,-24.1,76.4,Yes
4.903,2.53,12.373,2.9363,3.5175,127.99,-25.9,77.7,Yes
4.995,0.445,2.227,0.2671,0.2691,6.484,-59.2,49.3,No
5.0,0.268,1.353,0.1054,0.0388,3.097,-69.7,42.6,No
4.992,0.428,2.106,0.2438,0.1851,6.424,-69.8,52.0,No
4.997,2.008,10.013,1.8827,1.8605,48.749,-32.2,69.8,Yes
5.013,0.452,2.241,0.3418,0.2871,7.031,-49.2,55.0,No
4.916,2.122,10.551,3.2724,3.2666,98.806,-13.5,79.4,Yes
5.033,0.146,0.761,0.1925,0.1342,5.641,-92.5,48.9,No
5.025,0.42,2.109,0.2463,0.0437,1.594,-91.3,46.1,No
5.025,0.114,0.58,0.0477,0.1149,4.357,-66.9,33.6,No
5.045,0.517,2.658,0.2296,0.1633,7.896,-45.7,49.4,No
4.892,3.006,14.843,3.2586,2.6015,96.841,-24.2,87.8,Yes
4.939,1.568,7.821,1.4167,1.1949,84.571,-49.5,77.8,Yes
5.053,0.166,0.835,0.006,0.0039,0.593,-89.9,31.3,No
4.99,0.46,2.221,0.2422,0.2075,5.511,-52.0,51.8,No
5.018,1.175,5.859,0.8143,0.5441,28.934,-44.9,61.3,No
5.066,0.13,0.644,0.0148,0.0254,1.546,-86.0,30.4,No
4.943,2.094,10.292,2.8387,3.1141,102.638,-30.5,85.1,Yes
4.938,2.039,9.995,2.3726,2.305,102.815,-26.8,75.2,Yes
5.04,0.277,1.408,0.0575,0.1108,6.714,-63.5,49.0,No
4.998,0.556,2.843,0.3772,0.3,41.34,-56.7,60.7,Yes
4.909,2.34,11.374,2.8637,2.9765,102.155,-29.4,85.6,Yes
5.038,0.053,0.276,0.0878,0.0606,2.136,-89.9,36.6,No
5.007,0.986,4.883,0.399,0.4007,14.055,-51.1,58.4,Yes
5.014,0.267,1.332,0.1903,0.0459,5.175,-77.5,38.7,No
4.99,0.981,4.931,0.88,0.7951,32.116,-42.9,62.1,Yes
5.047,0.152,0.768,0.0088,0.0041,1.01,-93.2,34.2,No
5.033,0.043,0.225,0.073,0.0266,2.04,-87.7,30.0,No
